{'file_name': '/home/ye/diebold/class_detector/complete_data/image-582.png', 'id': 1013, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-872.png', 'id': 1303, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-891.png', 'id': 1322, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-456.png', 'id': 887, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-726.png', 'id': 1157, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-704.png', 'id': 1135, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-440.png', 'id': 871, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-841.png', 'id': 1272, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-945.png', 'id': 1376, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-272.png', 'id': 703, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1084.png', 'id': 193, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-316.png', 'id': 747, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1074.png', 'id': 182, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-361.png', 'id': 792, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-205.png', 'id': 636, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-153.png', 'id': 585, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1189.jpg', 'id': 308, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1306.jpg', 'id': 437, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1158.jpg', 'id': 274, 'width': 3024, 'height': 4032}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1023.png', 'id': 126, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1055.png', 'id': 161, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-730.png', 'id': 1161, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1374.jpg', 'id': 512, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-662.png', 'id': 1093, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-747.png', 'id': 1178, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1425.jpg', 'id': 568, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-119.png', 'id': 309, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1208.jpg', 'id': 329, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-468.png', 'id': 899, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-050.png', 'id': 50, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-408.png', 'id': 839, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1091.png', 'id': 201, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-595.png', 'id': 1026, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1009.png', 'id': 110, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-557.png', 'id': 988, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-620.png', 'id': 1051, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-260.png', 'id': 691, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-143.png', 'id': 573, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-179.png', 'id': 611, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-285.png', 'id': 716, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1253.jpg', 'id': 379, 'width': 1920, 'height': 1080}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-405.png', 'id': 836, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-1057.png', 'id': 163, 'width': 980, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-277.png', 'id': 708, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-770.png', 'id': 1201, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-135.png', 'id': 485, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-919.png', 'id': 1350, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-006.png', 'id': 6, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-877.png', 'id': 1308, 'width': 1280, 'height': 720}
{'file_name': '/home/ye/diebold/class_detector/complete_data/image-883.png', 'id': 1314, 'width': 1280, 'height': 720}
